storeNumber,area,description,type,paymeKassaId,sortKey
20/14,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b169,141
21/2,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b170,142
21/5,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b171,143
21/5a,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b172,144
21/6,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b173,145
21/8,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b174,146
21/12,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b175,147
21/14,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b176,148
21/15,4.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b177,149
21/18,4.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b178,150
22/1,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b179,151
22/5,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b180,152
22/7,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b181,153
22/8,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b182,154
22/9,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b183,155
22/10,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b184,156
22/11,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b185,157
22/12,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b186,158
22/13,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b187,159
22/14,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b188,160
22/15,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b189,161
22/16,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b190,162
22/17,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b191,163
22/20,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b192,164
22/21,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b193,165
22/22,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b194,166
